,artist(s),track,market,release date,danceability,energy,loudness,mode,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,language,languages,lang 1,lang 2,lang 3
273,Drake,Lemon Pepper Freestyle (feat. Rick Ross),us,1/14/21,0.77,0.637,-5.53,1,0.103,0.345,0.0,0.171,0.431,94.966,383037,4,en,['en'],1.0,0.0,0.0
274,24kGoldn,Company (feat. Future),us,1/14/21,0.831,0.727,-3.657,0,0.447,0.169,0.0,0.111,0.703,125.068,213080,4,en,['en'],1.0,0.0,0.0
275,Bad Bunny,TE MUDASTE,us,1/14/21,0.811,0.637,-4.835,0,0.234,0.0591,0.000572,0.118,0.471,92.025,130014,4,es,"['es', 'ro']",0.958333333,0.041666667,0.0
276,The Weeknd,The Hills,us,1/14/21,0.585,0.564,-7.063,0,0.0671,0.0515,0.0,0.135,0.137,113.003,242253,4,en,"['en', 'ml', 'ms']",0.898305085,0.033898305,0.033898305
277,Morgan Wallen,Whiskey Glasses,us,1/14/21,0.614,0.68,-4.58,1,0.369,0.0289,1.84e-06,0.115,0.707,149.959,234347,4,en,"['en', 'pt']",0.970149254,0.029850746,0.0
278,Grouplove,Tongue Tied,us,1/14/21,0.56,0.936,-5.835,1,0.00847,0.0439,0.0,0.161,0.371,112.96,218013,4,en,['en'],1.0,0.0,0.0
279,Harry Styles,Adore You,us,1/14/21,0.676,0.771,-3.675,1,0.0237,0.0483,7e-06,0.102,0.569,99.048,207133,4,en,"['en', 'ar']",0.962264151,0.037735849,0.0
280,DaBaby,BOP,us,1/14/21,0.769,0.787,-3.909,1,0.189,0.367,0.0,0.129,0.836,126.77,159715,4,en,['en'],1.0,0.0,0.0
281,Morgan Wallen,Sand In My Boots,us,1/14/21,0.403,0.537,-6.628,1,0.59,0.031,0.0,0.112,0.414,69.877,202133,4,en,['en'],1.0,0.0,0.0
282,Wallows,Are You Bored Yet? (feat. Clairo),us,1/14/21,0.682,0.683,-6.444,0,0.156,0.0287,2.32e-05,0.273,0.64,120.023,178000,4,en,['en'],1.0,0.0,0.0
283,Megan Thee Stallion,Cry Baby (feat. DaBaby),us,1/14/21,0.957,0.437,-7.882,1,0.00402,0.359,0.0,0.219,0.616,130.058,137984,4,en,"['en', 'ja']",0.980769231,0.019230769,0.0
284,Billie Eilish,lovely (with Khalid),us,1/14/21,0.351,0.296,-10.109,0,0.934,0.0333,0.0,0.095,0.12,115.284,200186,4,en,"['en', 'ar']",0.56,0.44,0.0
285,"J Balvin, Bad Bunny",LA CANCIÓN,us,1/14/21,0.754,0.646,-5.795,1,0.152,0.317,1.85e-05,0.108,0.429,176.089,242573,4,es,"['es', 'ar']",0.983606557,0.016393443,0.0
286,DJ Khaled,POPSTAR (feat. Drake),us,1/14/21,0.8,0.56,-4.818,0,0.057,0.261,0.0,0.134,0.45,163.071,200221,4,en,"['en', 'ar']",0.984375,0.015625,0.0
287,Taylor Swift,Hey Stephen (Taylor‚Äôs Version),us,1/14/21,0.788,0.571,-6.135,1,0.106,0.0296,0.0,0.0934,0.797,115.99,254255,4,en,['en'],1.0,0.0,0.0
288,$NOT,Whipski (feat. Lil Skies & Internet Money),us,1/14/21,0.841,0.545,-8.013,1,0.268,0.222,0.0,0.25,0.305,94.528,183983,4,en,"['en', 'tl']",0.984848485,0.015151515,0.0
289,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),us,1/14/21,0.905,0.647,-5.065,0,0.0187,0.107,0.0,0.282,0.367,130.97,190534,4,en,"['en', 'fy']",0.986666667,0.013333333,0.0
290,Morgan Wallen,More Than My Hometown,us,1/14/21,0.62,0.869,-5.479,1,0.615,0.0462,0.0,0.131,0.597,126.019,216573,4,en,['en'],1.0,0.0,0.0
291,Eminem,Godzilla (feat. Juice WRLD),us,1/14/21,0.808,0.745,-5.26,0,0.145,0.342,0.0,0.292,0.829,165.995,210800,4,en,['en'],1.0,0.0,0.0
292,Lil Uzi Vert,XO Tour Llif3,us,1/14/21,0.732,0.75,-6.366,0,0.00264,0.231,0.0,0.109,0.401,155.096,182707,4,en,['en'],1.0,0.0,0.0
293,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),us,1/14/21,0.588,0.608,-7.062,1,0.225,0.0365,0.0,0.092,0.508,90.201,189496,4,en,['en'],1.0,0.0,0.0
294,Justin Bieber,Lonely (with benny blanco),us,1/14/21,0.631,0.239,-7.071,0,0.864,0.0398,0.0,0.116,0.0927,79.859,149297,4,en,['en'],1.0,0.0,0.0
295,"Powfu, beabadoobee",death bed (coffee for your head),us,1/14/21,0.726,0.431,-8.765,0,0.731,0.135,0.0,0.696,0.348,144.026,173333,4,en,['en'],1.0,0.0,0.0
296,Polo G,Pop Out (feat. Lil Tjay),us,1/14/21,0.772,0.639,-7.119,1,0.15,0.467,0.0,0.0698,0.261,168.112,166560,4,en,['en'],1.0,0.0,0.0
297,DMX,X Gon' Give It To Ya,us,1/14/21,0.761,0.899,-3.09,0,0.0135,0.183,0.0,0.0719,0.673,95.027,217587,4,en,"['en', 'ro']",0.9875,0.0125,0.0
298,Mother Mother,Hayloft,us,1/14/21,0.527,0.922,-2.666,0,0.00475,0.0728,0.000162,0.422,0.49,95.975,181680,4,en,"['en', 'id', 'ja']",0.776119403,0.119402985,0.104477612
299,J. Cole,MIDDLE CHILD,us,1/14/21,0.837,0.364,-11.713,1,0.149,0.276,0.0,0.271,0.463,123.984,213594,4,en,['en'],1.0,0.0,0.0
300,Tame Impala,The Less I Know The Better,us,1/14/21,0.64,0.74,-4.083,1,0.0115,0.0284,0.00678,0.167,0.785,116.879,216320,4,en,['en'],1.0,0.0,0.0
301,ElyOtto,SugarCrash!,us,1/14/21,0.748,0.734,-6.499,1,0.524,0.124,1.15e-05,0.0975,0.368,97.753,80081,4,en,['en'],1.0,0.0,0.0
302,DUSTY LOCANE,ROLLIN N CONTROLLIN FREESTYLE,us,1/14/21,0.69,0.514,-11.81,0,0.0975,0.328,0.497,0.346,0.307,72.791,191209,4,en,"['en', 'pl']",0.96,0.04,0.0
303,Juice WRLD,Bad Boy (with Young Thug),us,1/14/21,0.697,0.674,-6.326,1,0.00215,0.0533,0.0,0.138,0.198,81.535,157355,4,en,"['en', 'sv']",0.961538462,0.038461538,0.0
304,Taylor Swift,Fifteen (Taylor’s Version),us,1/14/21,0.559,0.646,-4.61,1,0.116,0.0272,0.0,0.32,0.289,95.466,294419,4,en,"['en', 'es']",0.94,0.06,0.0
305,Pop Smoke,Mood Swings (feat. Lil Tjay),us,1/14/21,0.48,0.602,-6.335,0,0.487,0.368,0.0,0.0848,0.269,179.798,213333,4,en,"['en', 'da']",0.98630137,0.01369863,0.0
306,Luke Combs,Beautiful Crazy,us,1/14/21,0.551,0.402,-7.431,1,0.676,0.0262,0.0,0.0928,0.382,103.313,193200,4,en,['en'],1.0,0.0,0.0
307,DaBaby,Masterpiece,us,1/14/21,0.781,0.726,-4.213,1,0.0299,0.0836,0.0,0.093,0.436,139.988,181714,4,en,['en'],1.0,0.0,0.0
308,Yung Bleu,You’re Mines Still (feat. Drake),us,1/14/21,0.575,0.609,-4.88,0,0.317,0.121,0.0,0.105,0.339,83.004,226220,4,en,['en'],1.0,0.0,0.0
309,Taylor Swift,Forever & Always (Taylor‚Äôs Version),us,1/14/21,0.598,0.821,-4.433,1,0.0231,0.0447,0.0,0.143,0.673,128.03,225328,4,en,['en'],1.0,0.0,0.0
310,Cage The Elephant,Cigarette Daydreams,us,1/14/21,0.636,0.676,-3.442,1,0.0807,0.0263,0.0,0.0831,0.273,113.98,208760,4,en,['en'],1.0,0.0,0.0
311,Lil Peep,Star Shopping,us,1/14/21,0.585,0.471,-9.934,0,0.0967,0.0616,0.0184,0.115,0.323,93.099,142000,4,en,['en'],1.0,0.0,0.0
312,Arctic Monkeys,505,us,1/14/21,0.52,0.852,-5.866,1,0.00237,0.0543,5.79e-05,0.0733,0.234,140.267,253587,4,en,['en'],1.0,0.0,0.0
313,Morgan Wallen,Cover Me Up,us,1/14/21,0.549,0.44,-8.192,1,0.232,0.0264,7.37e-06,0.107,0.214,128.01,293707,3,en,['en'],1.0,0.0,0.0
314,"Chris Brown, Young Thug",Go Crazy,us,1/14/21,0.755,0.578,-8.932,0,0.316,0.145,0.0,0.25,0.581,94.148,176960,4,en,['en'],1.0,0.0,0.0
315,Taylor Swift,willow,us,1/14/21,0.392,0.574,-9.195,1,0.833,0.17,0.00179,0.145,0.529,81.112,214707,4,en,['en'],1.0,0.0,0.0
316,Morgan Wallen,7 Summers,us,1/14/21,0.466,0.786,-5.13,1,0.417,0.0328,6.1e-05,0.125,0.571,203.903,210507,4,en,['en'],1.0,0.0,0.0
317,Roar,I Can't Handle Change,us,1/14/21,0.247,0.438,-8.479,1,0.0455,0.0358,0.000871,0.111,0.39,185.716,198213,3,en,['en'],1.0,0.0,0.0
318,Nessa Barrett,la di die (feat. jxdn),us,1/14/21,0.484,0.643,-4.72,1,0.0036,0.0416,0.0,0.243,0.345,163.97,195191,4,en,"['en', 'ar', 'fr']",0.892857143,0.053571429,0.053571429
319,Mac Miller,The Spins,us,1/14/21,0.794,0.766,-3.894,0,0.0135,0.0377,0.0,0.0785,0.55,127.007,195873,4,en,['en'],1.0,0.0,0.0
320,Gabby Barrett,The Good Ones,us,1/14/21,0.519,0.552,-5.023,1,0.18,0.0259,0.0,0.149,0.331,89.957,215141,4,en,['en'],1.0,0.0,0.0
321,Morgan Wallen,Somebody’s Problem,us,1/14/21,0.657,0.54,-7.675,1,0.662,0.0287,0.0,0.123,0.625,136.97,161773,4,en,['en'],1.0,0.0,0.0
322,Mustard,Ballin' (with Roddy Ricch),us,1/14/21,0.809,0.545,-6.678,1,0.392,0.0735,0.0,0.151,0.244,97.008,180435,4,en,['en'],1.0,0.0,0.0
323,Don Toliver,After Party,us,1/14/21,0.629,0.692,-8.045,1,0.00981,0.0376,0.331,0.603,0.453,162.948,167916,4,en,['en'],1.0,0.0,0.0
324,Kane Brown,Be Like That - feat. Swae Lee & Khalid,us,1/14/21,0.727,0.626,-8.415,1,0.0469,0.0726,2.58e-05,0.126,0.322,86.97,191406,4,en,"['en', 'fr', 'nl']",0.78,0.04,0.04
325,BTS,Dynamite,us,1/14/21,0.746,0.765,-4.41,0,0.0112,0.0993,0.0,0.0936,0.737,114.044,199054,4,en,"['en', 'ig']",0.818181818,0.181818182,0.0
326,Hozier,Take Me To Church,us,1/14/21,0.566,0.664,-5.303,0,0.634,0.0464,0.0,0.116,0.437,128.945,241693,4,en,"['en', 'ar']",0.984848485,0.015151515,0.0
327,Chris Stapleton,Tennessee Whiskey,us,1/14/21,0.392,0.37,-10.888,1,0.205,0.0298,0.0096,0.0821,0.512,48.718,293293,4,en,['en'],1.0,0.0,0.0
328,Travis Scott,HIGHEST IN THE ROOM,us,1/14/21,0.598,0.427,-8.764,0,0.0546,0.0317,5.83e-06,0.21,0.0605,76.469,175721,4,en,['en'],1.0,0.0,0.0
329,Taylor Swift,White Horse (Taylor’s Version),us,1/14/21,0.423,0.517,-7.377,1,0.369,0.0486,0.0,0.177,0.366,185.262,234516,4,en,['en'],1.0,0.0,0.0
330,JP Saxe,If the World Was Ending - feat. Julia Michaels,us,1/14/21,0.464,0.473,-10.086,1,0.866,0.129,0.0,0.109,0.604,75.801,208687,4,en,"['en', 'es', 'nl']",0.887755102,0.020408163,0.020408163
331,XXXTENTACION,SAD!,us,1/14/21,0.74,0.613,-4.88,1,0.258,0.145,0.00372,0.123,0.473,75.023,166606,4,en,['en'],1.0,0.0,0.0
332,Travis Scott,SICKO MODE,us,1/14/21,0.834,0.73,-3.714,1,0.00513,0.222,0.0,0.124,0.446,155.008,312820,4,en,"['en', 'tr']",0.989583333,0.010416667,0.0
333,Harry Styles,Falling,us,1/14/21,0.567,0.267,-6.502,1,0.839,0.0299,1.46e-06,0.089,0.0592,110.011,240133,4,en,['en'],1.0,0.0,0.0
334,Neon Trees,Everybody Talks,us,1/14/21,0.471,0.924,-3.906,1,0.00301,0.0586,0.0,0.313,0.725,154.961,177280,4,en,['en'],1.0,0.0,0.0
335,Post Malone,I Fall Apart,us,1/14/21,0.556,0.538,-5.408,0,0.0689,0.0382,0.0,0.196,0.291,143.95,223347,4,en,['en'],1.0,0.0,0.0
336,Lil Baby,Drip Too Hard (Lil Baby & Gunna),us,1/14/21,0.897,0.662,-6.903,0,0.0852,0.292,0.0,0.534,0.389,112.511,145543,4,en,['en'],1.0,0.0,0.0
337,Offset,Ric Flair Drip (& Metro Boomin),us,1/14/21,0.88,0.428,-8.28,1,0.149,0.206,5.07e-05,0.114,0.333,100.007,172800,4,en,"['en', 'fr']",0.99408284,0.00591716,0.0
338,James Arthur,Say You Won't Let Go,us,1/14/21,0.358,0.557,-7.398,1,0.695,0.059,0.0,0.0902,0.494,85.043,211467,4,en,['en'],1.0,0.0,0.0
339,Juice WRLD,Bandit (with YoungBoy Never Broke Again),us,1/14/21,0.474,0.631,-5.884,0,0.0687,0.343,0.0,0.132,0.425,180.051,189323,4,en,"['en', 'st']",0.986666667,0.013333333,0.0
340,MARINA,Bubblegum Bitch,us,1/14/21,0.495,0.856,-5.123,0,0.000219,0.0311,0.0,0.103,0.609,158.024,154667,4,en,['en'],1.0,0.0,0.0
341,Brent Faiyaz,Dead Man Walking,us,1/14/21,0.505,0.267,-13.763,0,0.279,0.05,0.0,0.096,0.439,143.929,247080,4,en,"['en', 'no']",0.955555556,0.044444444,0.0
342,Lil Durk,Still Trappin' (with King Von),us,1/14/21,0.877,0.677,-4.969,0,0.0439,0.356,0.0,0.0986,0.627,144.941,172185,4,en,"['en', 'de', 'no']",0.933333333,0.05,0.016666667
343,Ricky Montgomery,Mr Loverman,us,1/14/21,0.639,0.526,-6.697,1,0.245,0.0256,2.43e-05,0.25,0.488,130.033,216880,3,en,"['en', 'fr']",0.973684211,0.026315789,0.0
344,Clairo,Sofia,us,1/14/21,0.744,0.619,-9.805,1,0.598,0.039,0.00372,0.231,0.641,112.997,188387,4,en,['en'],1.0,0.0,0.0
345,The Kid LAROI,GO (feat. Juice WRLD),us,1/14/21,0.436,0.655,-8.37,0,0.499,0.0583,8.1e-06,0.688,0.412,121.002,279204,4,en,['en'],1.0,0.0,0.0
346,Noah Cyrus,July,us,1/14/21,0.708,0.186,-8.953,0,0.868,0.042,0.0,0.0779,0.322,72.541,156106,4,en,['en'],1.0,0.0,0.0
347,Miley Cyrus,Prisoner (feat. Dua Lipa),us,1/14/21,0.781,0.67,-3.912,0,0.0103,0.0452,0.0,0.0761,0.595,127.99,169333,4,en,['en'],1.0,0.0,0.0
348,Ty Dolla $ign,Spicy (feat. Post Malone),us,1/14/21,0.782,0.51,-5.724,0,0.143,0.0419,0.0,0.115,0.118,99.993,143375,4,en,['en'],1.0,0.0,0.0
349,LPB Poody,Batman,us,1/14/21,0.893,0.565,-4.74,1,0.0754,0.268,0.0,0.0375,0.808,81.009,156432,4,en,['en'],1.0,0.0,0.0
350,Coi Leray,BIG PURR (Prrdd) (feat. Pooh Shiesty),us,1/14/21,0.774,0.412,-8.619,1,0.026,0.378,0.0,0.088,0.38,139.943,116760,4,en,"['en', 'sv']",0.975,0.025,0.0
351,"Kendrick Lamar, Jay Rock",Money Trees,us,1/14/21,0.716,0.531,-7.355,1,0.0703,0.122,0.0,0.224,0.344,71.994,386907,4,en,"['en', 'id', 'bn']",0.957627119,0.016949153,0.008474576
352,"21 Savage, Metro Boomin",Runnin,us,1/14/21,0.819,0.626,-4.574,0,0.00748,0.202,0.101,0.167,0.415,143.01,195906,4,en,['en'],1.0,0.0,0.0
353,Lil Tecca,Show Me Up,us,1/14/21,0.674,0.453,-10.293,0,0.155,0.0612,1.21e-06,0.0933,0.22,128.107,166875,4,en,['en'],1.0,0.0,0.0
354,Yot Club,YKWIM?,us,1/14/21,0.599,0.537,-7.625,1,0.935,0.0268,0.893,0.301,0.258,123.722,212750,3,en,['en'],1.0,0.0,0.0
355,Journey,Don't Stop Believin',us,1/14/21,0.5,0.748,-9.072,1,0.127,0.0363,0.0,0.447,0.514,118.852,250987,4,en,['en'],1.0,0.0,0.0
356,Childish Gambino,Redbone,us,1/14/21,0.743,0.347,-11.174,1,0.167,0.121,0.00951,0.103,0.572,160.143,326933,4,en,['en'],1.0,0.0,0.0
357,"Jubin Nautiyal, Tanishk Bagchi, Nusrat Fateh Ali Khan, Emraan Hashmi",Lut Gaye,in,1/14/21,0.638,0.785,-2.612,1,0.185,0.044,0.0,0.245,0.515,91.101,228031,4,hi,"['hi', 'gu']",0.916666667,0.083333333,0.0
358,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",Brown Munde,in,1/14/21,0.854,0.611,-6.26,0,0.223,0.0864,0.0,0.119,0.417,100.024,254400,4,hi,"['hi', 'gu', 'kn']",0.24528302,0.20754717,0.16981132
359,"B Praak, Nawazuddin Siddiqui, Sunanda Sharma",Baarish Ki Jaaye,in,1/14/21,0.524,0.765,-2.625,0,0.319,0.184,0.0,0.332,0.475,157.487,251429,3,hi,"['hi', 'bn']",0.96491228,0.03508772,0.0
360,King,Tu Aake Dekhle,in,1/14/21,0.77,0.84,-4.022,1,0.515,0.107,0.00452,0.145,0.192,96.012,270000,4,hi,"['hi', 'ml', 'bn']",0.82258065,0.09677419,0.03225806
361,Pink Sweat$,At My Worst,in,1/14/21,0.813,0.415,-5.926,1,0.777,0.0349,0.0,0.131,0.667,91.921,170345,4,en,['en'],1.0,0.0,0.0
362,"Sachin-Jigar, Rashmeet Kaur, Shamur, IP Singh","Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",in,1/14/21,0.875,0.846,-5.276,1,0.137,0.0716,1.15e-05,0.123,0.697,114.981,164046,4,hi,"['hi', 'kn', 'sv']",0.44,0.16,0.16
363,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",in,1/14/21,0.562,0.519,-8.744,1,0.557,0.0326,0.000268,0.172,0.415,122.925,341055,4,hi,['hi'],1.0,0.0,0.0
364,"Stebin Ben, Nilesh Ahuja, Kumaar",Thoda Thoda Pyaar,in,1/14/21,0.706,0.527,-8.706,0,0.139,0.0269,0.000169,0.112,0.144,103.008,244724,4,hi,"['hi', 'en']",0.94117647,0.05882353,0.0
365,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),in,1/14/21,0.646,0.795,-3.293,1,0.0319,0.0976,0.0,0.267,0.796,89.99,210960,4,en,"['en', 'haw']",0.96103896,0.03896104,0.0
366,"Pritam, Arijit Singh",Shayad,in,1/14/21,0.483,0.468,-7.642,1,0.785,0.0341,0.0,0.152,0.319,135.864,247941,4,hi,['hi'],1.0,0.0,0.0
367,"Dhee, Arivu, Santhosh Narayanan",Enjoy Enjaami,in,1/14/21,0.856,0.709,-7.432,0,0.349,0.222,0.000209,0.225,0.856,110.009,279500,4,ta,"['ta', 'ml', 'te']",0.54901961,0.17647059,0.11764706
368,BTS,Film out,in,1/14/21,0.499,0.709,-6.404,1,0.296,0.134,0.0,0.331,0.314,164.032,214621,4,ja,"['ja', 'es', 'en']",0.77777778,0.13333333,0.04444444
369,"Pritam, Arijit Singh",Khairiyat,in,1/14/21,0.534,0.481,-9.016,0,0.697,0.0412,0.0,0.142,0.293,124.914,280282,4,hi,"['hi', 'en']",0.72222222,0.27777778,0.0
370,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",in,1/14/21,0.427,0.396,-7.556,1,0.736,0.0366,0.0,0.11,0.306,70.368,284780,4,hi,['hi'],1.0,0.0,0.0
371,Harnoor,Waalian,in,1/14/21,0.722,0.335,-9.943,1,0.12,0.136,0.0,0.0747,0.266,85.034,206118,4,hi,"['hi', 'gu', 'te']",0.57894737,0.14035088,0.12280702
372,Melanie Martinez,Play Date,in,1/14/21,0.68,0.729,-5.077,1,0.612,0.0475,0.0,0.224,0.446,123.97,179867,4,en,['en'],1.0,0.0,0.0
373,Imagine Dragons,Believer,in,1/14/21,0.776,0.78,-4.374,0,0.0622,0.128,0.0,0.081,0.666,124.949,204347,4,en,['en'],1.0,0.0,0.0
374,"Shawn Mendes, Camila Cabello",Señorita,in,1/14/21,0.759,0.54,-6.039,0,0.037,0.0287,0.0,0.0945,0.75,116.947,190960,4,en,"['en', 'ca', 'haw']",0.8627451,0.09803922,0.03921569
375,"Anirudh Ravichander, Gana Balachandar",Vaathi Coming,in,1/14/21,0.643,0.952,-4.15,1,0.276,0.246,0.49,0.0588,0.585,164.784,228258,4,zh-CN,"['zh-CN', 'ta', 'ar']",0.17948718,0.15384615,0.07692308
376,Alec Benjamin,Let Me Down Slowly,in,1/14/21,0.652,0.557,-5.714,0,0.74,0.0318,0.0,0.124,0.483,150.073,169354,4,en,['en'],1.0,0.0,0.0
377,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",Saiyaan Ji,in,1/14/21,0.896,0.678,-2.546,0,0.0137,0.0815,4.1e-05,0.11,0.604,130.024,205450,4,en,['en'],1.0,0.0,0.0
378,Aya Nakamura,Copines,in,1/14/21,0.701,0.787,-3.941,0,0.27,0.0855,0.0,0.105,0.904,180.027,171720,4,fr,"['fr', 'pt']",0.9,0.1,0.0
379,"Asim Azhar, Zenab Fatimah Sultan","Ghalat Fehmi - From ""Superstar""",in,1/14/21,0.758,0.588,-7.777,0,0.608,0.091,9.3e-05,0.189,0.796,134.014,286008,4,ur,['ur'],1.0,0.0,0.0
380,Kaka,Libaas,in,1/14/21,0.794,0.753,-3.112,1,0.543,0.0609,0.0,0.12,0.906,159.965,267029,4,hi,"['hi', 'gu', 'kn']",0.54347826,0.15217391,0.08695652
381,Avicii,The Nights,in,1/14/21,0.527,0.835,-5.298,1,0.0166,0.0433,0.0,0.249,0.654,125.983,176658,4,en,['en'],1.0,0.0,0.0
382,"Arijit Singh, Shilpa Rao","Ghungroo (From ""War"")",in,1/14/21,0.695,0.727,-6.274,0,0.0744,0.0323,0.000175,0.533,0.864,118.034,302935,4,hi,"['hi', 'en']",0.94545455,0.05454545,0.0
383,BTS,Life Goes On,in,1/14/21,0.566,0.716,-5.733,1,0.00691,0.0424,0.0,0.37,0.45,81.068,207481,4,ko,"['ko', 'en', 'ar']",0.68656716,0.28358209,0.02985075
384,"Jassa Dhillon, Gur Sidhu, Deepak Dhillon",Talja,in,1/14/21,0.75,0.864,-3.861,0,0.013,0.102,0.0,0.229,0.542,122.931,192500,4,hi,['hi'],1.0,0.0,0.0
385,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,in,1/14/21,0.258,0.437,-6.593,0,0.101,0.039,1.27e-06,0.106,0.0967,180.043,239000,4,en,['en'],1.0,0.0,0.0
386,Amit Trivedi,Namo Namo,in,1/14/21,0.648,0.711,-6.216,1,0.436,0.0304,0.0,0.121,0.33,119.935,322250,4,hi,"['hi', 'gu', 'kn']",0.57627119,0.22033898,0.10169492
387,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",Naach Meri Rani,in,1/14/21,0.676,0.488,-5.091,1,0.0613,0.154,0.0,0.0707,0.151,97.036,212693,4,hi,"['hi', 'en', 'gu']",0.86075949,0.03797468,0.03797468
388,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",in,1/14/21,0.37,0.467,-6.973,1,0.442,0.0411,0.0,0.109,0.162,137.796,234722,4,hi,['hi'],1.0,0.0,0.0
389,"Tanishk Bagchi, Yasser Desai, Asees Kaur",Makhna,in,1/14/21,0.696,0.704,-7.876,1,0.167,0.0423,0.0,0.155,0.426,124.972,183000,4,hi,['hi'],1.0,0.0,0.0
390,"Darshan Raval, Neha Kakkar, Manan Bhardwaj",Teri Aankhon Mein,in,1/14/21,0.517,0.623,-6.812,1,0.419,0.0884,0.0,0.146,0.456,160.085,261758,3,hi,['hi'],1.0,0.0,0.0
391,"Amrit Maan, Nimrat Khaira",Sira E Hou,in,1/14/21,0.747,0.549,-5.137,0,0.331,0.203,0.0,0.121,0.787,77.937,200769,4,hi,"['hi', 'nl', 'gu']",0.36231884,0.15942029,0.08695652
392,"Akhil, Dhvani Bhanushali","Duniyaa (From ""Luka Chuppi"")",in,1/14/21,0.435,0.658,-5.949,0,0.699,0.0368,0.0,0.125,0.524,77.17,222501,4,hi,['hi'],1.0,0.0,0.0
393,"DIVINE, MC Altaf, Stylo G, Phenom",Mirchi,in,1/14/21,0.871,0.608,-5.486,1,0.142,0.4,0.0,0.0876,0.818,129.784,192923,4,hi,"['hi', 'en', 'it']",0.75247525,0.22772277,0.00990099
394,"Inder Chahal, Karan Aujla",Guilty,in,1/14/21,0.651,0.835,-5.768,1,0.00359,0.0464,0.0,0.118,0.87,150.058,204413,4,en,['en'],1.0,0.0,0.0
395,DIVINE,3:59 AM,in,1/14/21,0.669,0.588,-6.902,1,0.177,0.339,0.0,0.179,0.237,97.026,272197,4,hi,"['hi', 'fr', 'en']",0.90566038,0.06603774,0.02830189
396,Maroon 5,Memories,in,1/14/21,0.764,0.32,-7.209,1,0.837,0.0546,0.0,0.0822,0.575,91.019,189486,4,en,['en'],1.0,0.0,0.0
397,BLACKPINK,How You Like That,in,1/14/21,0.812,0.761,-5.222,1,0.0465,0.0812,0.000135,0.0601,0.344,130.032,182956,4,en,"['en', 'ko', 'cy']",0.56923077,0.27692308,0.12307692
398,Arijit Singh,Kalank (Title Track),in,1/14/21,0.57,0.55,-8.343,1,0.524,0.035,3.73e-05,0.0921,0.435,117.999,311186,4,hi,"['hi', 'en', 'gu']",0.78378378,0.16216216,0.02702703
399,"Shashi, DJ Khushi, Nikhita Gandhi, Madhubanti","BurjKhalifa (From ""Laxmii"")",in,1/14/21,0.759,0.899,-3.566,0,0.0334,0.186,0.0,0.104,0.589,106.968,187570,4,ar,"['ar', 'hi', 'en']",0.40625,0.234375,0.078125
400,"Ammy Virk, Sweetaj Brar",Khabbi Seat,in,1/14/21,0.761,0.859,-3.613,1,0.192,0.131,0.0,0.0885,0.676,91.871,204130,4,hi,"['hi', 'en', 'gu']",0.42857143,0.28571429,0.14285714
401,"A.R. Rahman, Javed Ali, Mohit Chauhan",Kun Faya Kun,in,1/14/21,0.362,0.378,-11.008,1,0.679,0.0329,0.0,0.091,0.575,87.549,470500,4,hi,"['hi', 'ar', 'zh-CN']",0.56944444,0.34722222,0.04166667
402,BTS,Boy With Luv (feat. Halsey),in,1/14/21,0.645,0.862,-4.757,0,0.0923,0.0965,0.0,0.192,0.798,119.991,229773,4,ja,"['ja', 'en', 'mr']",0.51388889,0.45833333,0.01388889
403,"Payal Dev, Jubin Nautiyal","Tum Hi Aana (From ""Marjaavaan"")",in,1/14/21,0.473,0.401,-7.018,0,0.629,0.0241,1.17e-05,0.154,0.345,90.076,249127,4,hi,"['hi', 'fi', 'gu']",0.8125,0.125,0.0625
404,"Dilpreet Dhillon, Karan Aujla",Jatt te Jawani,in,1/14/21,0.79,0.685,-4.727,1,0.0245,0.259,0.0,0.0308,0.611,159.921,240000,4,gu,"['gu', 'hi', 'mr']",0.27777778,0.16666667,0.11111111
405,Halsey,Without Me,in,1/14/21,0.908,0.669,-2.827,1,0.00286,0.0738,0.0,0.237,0.662,112.238,290320,4,en,['en'],1.0,0.0,0.0
406,"Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")",in,1/14/21,0.468,0.854,-3.932,0,0.176,0.059,0.0,0.126,0.277,155.867,299822,4,hi,['hi'],1.0,0.0,0.0
407,ROS√â,On The Ground,in,1/14/21,0.311,0.607,-6.578,1,0.0174,0.11,0.0,0.131,0.286,188.7,168086,4,en,['en'],1.0,0.0,0.0
